id,name,price,availability_365,reviews_per_month
15220,Best Location in NYC! TIMES SQUARE!,69,294,2.49
15338,Room in Greenpoint Loft w/ Roof,49,320,1.19
15341,**Bright Nolita Apt w Doorman/Elevators/Gym**,180,154,0.3
15385,"Very, very cozy place",80,263,0.38
15396,Sunny & Spacious Chelsea Apartment,375,180,0.12
15711,2 bedroom - Upper East Side-great for kids,250,231,0.57
16326,Comfortable 4-bedroom apt in family house.,200,297,1.33
16338,Double Room w Private Deck Clinton Hill Best Area,55,292,0.23
16421,Your Heaven in Hells Kitchen,52,191,1.65
16458,Light-filled 2B duplex in the heart of Park Slope!,225,0,0.16
16580,"Sunny, Modern room in East Village!",80,72,4.72
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,275,362,1.4
16821,Large Room in Amazing East Village Apt,99,336,1.26
16974,SpaHa Loft: Enormous and Bright,225,215,1.64
17037,Lovely EV Artist's Home,230,116,0.43
17092,Cool Room in Hell's Kitchen,51,88,0.43
17693,"HARLEM, NEW YORK WELCOMES YOU!!",65,336,1.6
17747,BLUE TRIM GUEST HOUSE,105,304,0.92
18127,Charming East Village One Bedroom Flat,190,224,0.2
18152,Manhattan Room,200,322,1.5
18198,Little King of Queens,70,324,0.22
18590,Fort Greene Retreat on the Park,95,132,1.28
18728,Beautiful Meatpacking District Loft,150,295,1.65
18764,Cozy 2 BR in Williamsburg ,145,238,0.54
19159,Spacious luminous apt Upper West NYC,110,209,0.49
19169,Entire 2 Bedroom - Large & Sunny,285,328,0.62
19282,"Sunny, Spacious Top Floor Haven",130,38,0.15
19319,Private room Great Deal at Lower East Side,94,188,0.84
19601,perfect for a family or small group,800,7,0.24
19812,2 bedroom Williamsburg Apt - Bedford L stop,105,272,0.53
20299,Oh glorious spring!,60,26,1.73
20300,Great Location for NYC,50,0,0.05
20611,Cozy Bedroom in Williamsburg 3 BR,85,288,1.54
20724,Sunny room+Pvte office in huge loft,65,317,0.28
20734,Spacious Prospect Heights Apartment,131,207,3.4
20755,"Large Parlor Room, Landmark Home 1 block to PRATT",98,185,0.2
20853,2-bed brownstone duplex + garden,250,158,0.3
20913,Charming 1 bed GR8 WBurg LOCATION!,100,0,1.57
21293,Sunny Apartment in Artist Home,105,9,1.05
21456,Light-filled classic Central Park ,140,198,0.71
21644,"Upper Manhattan, New York",89,365,0.11
21794,COZY QUIET room 4 DOOGLERS!,98,364,0.27
22911,The Stuydio Modern and Light Filled,125,311,1.23
22918,loft bed - near transportation-15min to times sq,60,219,0.87
23135,House On Henry (3rd FLR Suite),175,342,2.09
23501,Monkey Retreat Manhattan,65,312,0.6
23686,2000 SF 3br 2bath West Village private  townhouse,500,243,0.55
24143,"Williamsburg—Steps To Subway, Private Bath&Balcony",101,152,3.02
24285,Beautiful Duplex Apartment,220,9,0.79
25235,Large 2 Bedroom Great for Groups!,125,137,1.46
25406,"Modern Brooklyn Apt., August sublet",80,222,0.4
25696,"1,800 sq foot in luxury building",100,346,1.61
26012,Sunny 2-story Brooklyn townhouse w deck and garden,200,208,0.2
26362,"Times Square, Safe, Clean and Cozy!",59,279,3
26520,"Cozy Room #3, Landmark Home 1 Block to PRATT",125,250,0.2
26559,Beautiful Apartment East Village,140,164,0.13
26785,Park Slope Green Guest House,120,192,4.22
26933,2 BR / 2 Bath Duplex Apt with patio! East Village,350,298,0.06
26954,NYC fabulous views Manhattan's eye,199,260,0.38
26969,2 story family home in Williamsburg,325,107,3.01
27006,Comfortable UWS 2-BD Family-Friendly Brownstone,235,199,0.27
27385,Great Large 1 BR apt  in East Village!,225,299,1.05
27531,Eveland Private Bed & Living Room w/ Own Entrance,99,20,3.2
27644,Sugar Hill Rest Stop ,170,318,2.03
27659,3 Story Town House in Park Slope,400,216,0.24
27759,apartment next to Central park,170,224,0.12
27883,East Village Sanctuary,100,0,0.23
28321,Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.,75,324,0.08
28396,Modern Apt with Spectacular Views,90,245,0.08
28907,Garden studio in the Upper East Sid,150,189,0.19
29012,Secluded Master Bedroom in Beautiful Huge Apt,85,307,0.33
29013,B & B Room 1,70,310,0.58
29455,ACCOMMODATIONS GALORE #1,120,213,1.42
29628,Sunny Room in New Condo,89,278,2.35
29683,Stylish & Sleek Apartment Near SoHo!,185,209,0.66
30031,NYC artists’ loft with roof deck,50,0,1.86
30927,Unique & Charming small 1br Apt. LES,105,16,0.29
31130,Most Central Location!,130,234,0.45
31555,Luminous Beautiful West Village Studio,115,12,0.25
31902,Sanctuary in East Flatbush,77,178,0.02
31994,Room with En Suite Bathroom & Deck,76,275,3.89
32023,FLAT MACDONOUGH,125,163,2.09
32037,Huge Private  Floor at The Waverly,135,365,0.77
32100,"Modern Greenpoint, Brooklyn Apt",250,34,0.03
32289,"Sun-drenched, artsy modernist 1 BDRM duplex",199,280,0.1
32331,"Sunny, Cobble Hill Apartment",140,0,0.04
32363,Fully Furnished Basement Apartment,140,1,0.01
32965,FLAT MACDONOUGH GARDEN,115,170,1.72
32969,Light filled Williamsburg Apartment,160,188,0.11
33009,Retreat in Williamsburg,195,214,2.19
33014,NYC Zen,195,248,0.28
33223,Cozy BR in Wiliamsburg 3 Bedroom,80,262,1.86
34760,Sunny Room in Old Historical Brooklyn Townhouse,44,280,1.05
35526,Sun Filled Classic West Village Apt,156,307,0.74
36121,Lg Rm in Historic Prospect Heights,85,339,0.09
36133,Classic Artist Loft Williamsburg,125,1,1.61
36442,Great location. Spacious on PROSPECT PARK,115,269,0.05
36647,Private Bdrm/Bathrm. New! Elevator!,69,10,0.32
36703,"Sunny, clean 1 bdrm in W. Village",225,312,1.24
36934,Great location in Williamsburg,125,189,0.25
38638,Light and Airy Upper East Side 1 BDR apartment,219,290,1.16
38663,Luxury Brownstone in Boerum Hill,475,230,0.27
39267,CENTRAL PARK LOFT all for YOU,99,164,2.6
39282,Indie-Chic Share In Williamsburg,69,53,1.86
39593,"A room w/ a Manhattan view, longer stay",79,126,0.26
39704,"Private, Large & Sunny 1BR w/W&D",135,3,2.86
40039,Luxurious Condo in DUBMO with View,250,189,0.13
40453,Charming & Cozy midtown loft any WEEK ENDS  !!!,250,365,0.08
41348,* Spacious GARDEN Park Slope Duplex* 6 people max,250,0,2.17
41513,Convenient cozy cheap apt Manhattan,80,0,0.04
42580,Parlor Room In Victorian Townhouse,70,336,3.47
42729,House On Henry (2nd FLR Suite),165,342,1.4
42882,New York room with a view,70,312,1.66
43957,Sunny cozy room in Brklyn townhouse,50,37,0.94
44096,Room with a View,40,353,2.04
44161,Light+Open+Airy+Rustic+Modern Loft,150,177,1.78
44212,West Inn 2 - East Village,125,310,0.78
44221,Financial District Luxury Loft,196,0,1.06
44229,BROOKLYN VICTORIAN STYLE SUITE.....,110,321,2
44288,Your own Lovely West Village Studio,170,246,0.8
44506,ACCOMMODATIONS GALORE#3. 1-5 GUESTS,165,231,0.75
45393,Greenwich Village Stylish Apartment,150,225,0.36
45542,Clean and Cozy Harlem Apartment,100,0,1.79
45556,"Fort Greene, Brooklyn: Center Bedroom",65,0,1.92
45910,Beautiful Queens Brownstone! - 5BR,350,365,0.11
45936,Couldn't Be Closer To Columbia Uni,99,233,1.18
45940,Bright Spacious Luxury Condo,200,1,0.58
46544,Park Slope haven 15 mins from Soho,150,18,0.5
46723,SAFE  AND BEAUTIFUL ACCOMODATION,90,343,1.17
46911,Large Room in private Brownstone in Park Slope,120,250,0.48
47199,"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",75,326,1.85
47362,"LARGE, COMFY 1BDR W/CHARACTER!!!",175,364,0.29
47370,Chelsea Studio sublet 1 - 2 months,125,0,0.03
47926,LUX APT IN TIMES SQUARE NEW BUILDING,275,299,0.38
48719,Designer 1 BR Duplex w/ Terrace- Spectacular Views,299,207,1.04
50447,Lovely Apt & Garden;  Legal;  Best Area; Amenities,135,162,1.43
51438,1 Bedroom in 2 Bdrm Apt- Upper East,130,0,
51485,Lower East Side $57~/night,83,7,2.69
51572,Prime Location in Manhattan,123,328,3.52
51850,( F) Excellent/Pvt Rm,55,365,0.49
53137,"Quiet, sunny Midtown Manhattan apt.",195,0,1.01
53196,Big Room/Washer-Dryer/Wifi/AC/JMZ,80,0,0.48
53469,cozy studio with parking spot,98,240,0.31
53470,Clean and convenient 2BR apartment,140,365,0.06
53477,3 floors of luxury!,265,365,0.38
54158,The Institute—Heart of Williamsburg,249,164,3.44
54453,MIDTOWN WEST - Large alcove studio,105,363,0.09
54466,Beautiful Uptown Manhattan apartmnt,200,365,
54508,Sml Rm in pr Brst  Park Sl great for Med/students,100,250,2.12
54544,City Room - Private Penthouse Apt.,121,247,1
54626,Cozy bedroom by Yankee Stadium,45,323,1.45
54860,Great apartment with private bathroom and entrance,100,192,1.92
55467,Private Garden Apt • New Renovation,140,125,3.04
55498,Modern comfort in art infused landmark Brownstone,71,91,0.22
55668,"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH",130,75,1.17
55737,Sleek & Comfortable Soho Apt,199,286,1.22
55959,Spacious Williamsburg Share w/ LOFT BED,69,60,1.13
55982,Cozy 2 br in sunny Fort Greene apt,68,0,0.35
56467,Cozy East Village Railroad 1 Bed!,130,192,2.04
56525,1 Bedroom Loft w/ Private Roof Deck,195,58,0.65
56859,City Room - Private & Comfy Bedroom,64,245,1.84
57166,Elegant NYC Pad,140,292,0.16
57297,"Clean & bright 1BR in Cobble Hill, GREAT location!",159,279,2.12
57468,"Modern, Large East Village Loft",189,0,1.96
57618,"Great new apt, close to everything",250,3,0.96
57740,Quiet & Clean Retreat in the City,239,351,0.07
57754,Stylish Large Gramercy Loft!,305,201,1.09
57874,The Brownstone-Luxury 1 Bd Apt/NYC,155,232,2.1
58059,PRIVATE Room on Historic Sugar Hill,60,258,4.58
58062,South Slope Green,135,272,0.26
58467,"17 Flr. Manhattan Views, Nr. Subway",120,341,0.3
59014,"Spacious 1BR, Adorable Clean Quiet",150,244,0.39
59121,"Nice, clean, safe, convenient 3BR",140,365,0.01
59642,Franklin St Flat in Trendy Greenpoint Brooklyn,135,12,0.67
59709,"Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",250,265,0.18
59855,One bedroom Apt. in NYC,250,0,0.78
60164,"Beautiful, elegant 3 bed SOHO loft",500,329,0.99
60457,Spacious Greenwich Village Apt,225,91,0.1
60611,SpaHa Studio Monthly Rental,125,365,1.83
60666,City Room - Private Luxury Suite,92,253,1.82
60673,Private Room/bath Luxurious Harlem,175,365,0.11
60680,The gem of the East Village,99,320,1.22
60794,"Bright and spacious, garden below!",195,0,0.04
60948,ACCOMMODATIONS GALORE #2,140,192,1.3
61167,Colorful Private One Bedroom Apt,135,0,0.2
61224,Huge Chelsea Loft,500,348,0.34
61406,Great room in great location,80,0,2.21
61492,Exclusive Room with Private Bath in  LES,120,353,1.8
61509,"Quiet, clean midtown apt w. elevato",110,140,0.9
62095,BK Sweet Suite w/Kitchen&FullBath,65,2,2.3
62427,Great East Village Apartment Rental,130,56,0.58
62430,BROWNSTONE SUNDRENCHED BEAUTY,99,68,2.13
62452,A SpeciaL!! Private Room in NY,36,360,1.85
62461,B NYC Staten Alternative...,37,0,1.44
62787,C Private Room By The Ferry,37,320,1.71
62891,Smallest House In The Village,175,326,1.78
62903,Beautiful modern studio apartment in heart of NYC,205,76,0.7
62925,Beautiful Landmarked Duplex,285,279,1.22
63299,BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,59,15,1.77
63320,D Private Che@p Room 2 Explore NYC,36,340,3.19
63360,Safe cute near subway& Manhattan NY NY retro style,99,226,4.5
63546,Large and Cozy Private Bedroom,39,365,0.46
63573,Small tidy bedroom in duplex,60,0,0.09
63588,LL3,90,349,
63610,DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,105,365,0.5
63657,"Private, Large & Sunny Top Floor Apt  w/W&D",135,11,2.39
63693,Cottage in the Village,390,316,1.38
63719,BEDROOM1 FOR RENT 10min from Manhan,70,281,0.41
63913,"HOSTING YOUR  SUNNY, SPACIOUS NYC ROOM",75,323,
64000,Williamsburg near soho. / loftbed,60,362,0.14
64015,Prime East Village 1 Bedroom,200,0,
64107,BROOKLYN  STUDIO APARTMENT,100,301,2.69
64277,BEDROOM2 FOR RENT  10min from Manh,70,189,0.22
64314,cozy bedroom in lovely garden apt,110,0,3.55
64365,Crown Heights Garden Apt.,60,287,2.27
64707,Amazing  Sunny & Breezy Home In the Heart of  NYC,90,14,0.16
64837,ENJOY Downtown NYC!!,68,86,1.96
65019,Charming UWS Treehouse Apt,115,261,2.1
65268,Share a HOME - $75 for 1 bdrm/++ for 2 - Brooklyn,75,68,0.67
65556,"Room in S3rd/Bedford, Williamsburg",60,0,
65562,CHARMING EAST VILLAGE 2 (or 1) BR,129,231,0.15
65615,Farmhouse Apartment in Williamsburg,130,152,0.48
65660,Bright+Spacious Williamsburg Abode!,95,46,1.27
65813,"Suite Sugar Hill, Harlem, Private Rm in Hosted Apt",75,364,0.26
65834,Beautiful 1 Bedroom Apt Park Slope,175,246,0.11
66008,CHARMING CARROLL GARDENS APT.,190,288,0.57
66026,Private Bedroom Brownstone Brooklyn,49,331,0.15
66251,East Village Loft with Piano & Patio,212,51,1.31
66275,Lower East Side Magic Room,95,364,1.11
66451,**Fantastic Williamsburg Apt**,140,254,0.11
66718,West Harlem Home Base - Eco-Apt.,135,189,1.87
66741,Charming Garden Apt in Park Slope,150,263,2.08
66974,"Lovely, Modern, Garden Apartment",190,258,0.79
67288,Central Park 1BR sunny condo,124,103,0.26
67299,Cozy Garden Apartment  in Williamsburg,135,42,0.56
67397,SoHa comfort-by NW Central Park!,122,246,0.93
68099,Cozy room in Upper West Side,109,364,1.05
68305,Cozy Private Room in Apartment,85,318,0.68
68403,The Cozy Brownstone Inn (discount)!,145,72,1.25
68735,Prewar Penthouse w Private Terrace,195,249,0.32
68765,Designer 2.5 BR Loft in Carroll Gardens by Subway,250,272,1.34
68900,Bright Beautiful Brooklyn,125,325,0.1
68974,Unique spacious loft on the Bowery,575,298,1.88
69894,"Nice renovated apt, prime location!",150,35,0.55
69921,Brooklyn Writer's Nook,70,203,0.49
70095,Private Bedroom in Large NYC Apartment,90,132,1.27
70128,"Large, Sunny Room East Village NYC",65,5,0.63
70609,Great Large 3 BR/2 Bath Duplex with Private Patio!,500,297,0.48
71010,All That Jazz. Uptown style on Sugar Hill.,250,276,0.43
71248,Bright and lovely 1 bdrm apt in LES,125,102,0.42
71366,Beautiful One Bed West Village - 4 Month Special,200,251,0.44
71384,Gigantic Private Brooklyn Loft!,229,188,0.5
71812,Condo Apartment with laundry in unit,90,346,0.35
72190,1BR: See Central Park from Terrace!,110,0,0.39
72265,Private room in cozy Greenpoint,59,15,0.36
74073,Food & Music Dream Apartment in Williamsburg,195,71,0.6
74240,French Garden cottage off Bedford,169,215,0.67
74333,Alcove Studio w/ outdoor Patio Deck,113,253,0.27
74404,Luxury 3 bed/ 2 bath apt in Harlem w/ terrace,250,78,0.31
74680,One Bedroom Mini studio - Free WIFI,115,257,2.01
74860,"Sunlit and Cozy Williamsburg/Greenpoint, Brooklyn",55,0,0.01
75193,BROOKLYN > Guest Room w/ King Bed in Williamsburg,69,8,2.17
75635,Bright Cozy Chinatown Studio Apt.,150,191,2.81
76761,Eveland the Place to Stay & Enjoy a 5-⭐️ 2bdrm,169,182,3.97
77765,Superior @ Box House,179,79,0.36
77936,Hells Kitchen Garden of Eden,150,49,0.36
78919,"Historic House Boerum Hill, BK, NYC",135,0,0.1
79067,Lovely 3 bedroom in Italianate Brownstone w/garden,350,156,0.3
79782,"Williamsburg HUGE, PRIVATE BATH - Next to Train!",120,343,0.76
80493,Cozy room in East Village with AC,71,200,1.81
80684,Duplex w/ Terrace @ Box House Hotel,349,60,0.09
80700,Loft w/ Terrace @ Box House Hotel,349,60,0.07
80924,Spacious 3 Bedroom Duplex in Park Slope,165,189,0.51
81739,Loft w/ Terrace @ Box House Hotel,249,60,0.02
82549,Columbia Castle in Brooklyn Heights,100,0,0.68
82550,Columbia Castle 2 BR,200,106,0.85
82638,"Charming Artist's Flat, East Village",169,276,2.4
82928,BEAUTIFUL 2 BEDROOM APARTMENT,185,248,1.07
83243,Brooklyn Cove Studio Apt w/ Garden!!,65,194,2.27
83446,"Ft. Greene garden gem, large and convenient",130,135,0.05
83722,Williamsburg penthouse with private roof cabana,199,30,0.11
83847,East Village Designer's 1-BR APT,225,0,0.33
84010,Superior @ Box House,179,81,0.14
84059,So Much Room in Brooklyn,150,0,0.05
84659,Large Studio--Heart of East Village,139,142,3.88
84905,Huge.Bright.Clean.Safe. Private Room,95,60,2.22
85094,Garden 1BR/1BA Brownstone Apt - 2 blocks to subway,79,179,0.11
86215,MODERN SPACIOUS 2 BR APT DOWNTOWN MANHATTAN,150,52,1.51
89427,The Brooklyn Waverly,650,365,
89621,"WONDERFUL, COMFORTABLE STUDIO",90,324,2.26
93313,MAISON DES SIRENES 2,120,237,0.76
94035,"Modern, Safe, Clean, Bright Room in Astoria for 2",80,365,1.21
94209,LARGE 1BR (CONV 2BR) CROWN HEIGHTS,100,365,
94477,The Vernon On Greene,175,204,3.74
94783,"Beautiful, Bright’s, Warm & Spacious 1.5BR Apt",120,272,1.04
95747,Lovely 1BR in Tree-lined WBurg,140,0,0.13
95883,Spacious Loft in Clinton Hill,200,9,0.07
96471,"The Brooklyn Waverly, One Bedroom",165,365,0.11
98330,LOVELY APARTMENT IN THE HEART OF NY,125,181,0.01
98663,Groovy NYC Chelsea Pad,130,189,0.19
99070,Comfortable Cozy Space in El Barrio,65,0,1.31
99085,Sunny Bklyn Jewel  Fort Greene JULY  - AUG 2019,123,189,0.15
100002,"MANHATTAN Neat, Nice, Bright ROOM",67,296,1.37
100184,Bienvenue,50,88,0.45
100186,Large Brand New Park Slope 1BR,130,35,0.99
101053,Colorful Artistic Williamsburg Apt,100,0,0.31
102995,UWS Brownstone Near Central Park,212,35,0.46
103161,Artsy TopFloor Apt in PRIME BEDFORD Williamsburg,190,359,1.76
103311,2 BR w/ Terrace @ Box House Hotel,599,60,0.09
103806,BOHEMIAN EAST VILLAGE 2 BED HAVEN,249,365,1.68
105469,Oceanfront Apartment in Rockaway,70,335,0.13
105510,Private 1-Bedroom Apt in Townhouse,100,282,0.16
106363,Bright Room With A Great River View,60,247,3.83
106647,Tree lined block modern apartment,135,102,0.87
107630,Sweet Historic Greenpoint Duplex,175,274,2.53
107895,Riverside Charm with Fire Place,120,201,0.56
110739,"Very Central, Nomad/Chelsea Loft Studio",169,98,0.57
112100,Sunny 3BR Apt Ideal for Family  ,165,157,0.03
112304,Cozy Private Room in West Harlem!,90,0,0.02
112359,UES Quiet & Spacious 1 bdrm for 4,225,312,0.57
112435,ALL ABOUT A VERY COMFORTABLE ROOM..,95,331,1.66
113265,Brooklyn- Crown Heights Garden Apt.,55,275,2.51
113945,Cozy room in Time Square!,85,174,1.17
114123,Large Park Slope Townhouse Duplex,199,223,0.28
114229,Lower East Side 2 Bedroom Apt,211,361,0.6
114969,"Manhattan Studio, Perfect Location",145,0,0.4
115535,Sun-Drenched Hamilton Hts Jewel   ,65,283,0.35
115678,Your Stunning Vacation Apartment!,99,220,3.23
115748,1 BDRM Apt-Weekend Sublease,110,363,0.32
116940,ROOM WITH A  KITCHENETTE,80,315,2.27
117425,"Conveniently Located, Sunny Brooklyn Heights!",150,281,0.96
118061,Style in Stuyvesant Heights,110,283,0.75
118430,Heart of Meatpacking & Chelsea,290,20,0.36
118680,Spacious East Village apt near it all,87,0,
120362,Williamsburg apartment right by the subway,190,331,0.51
121687,Spacious Brooklyn Loft - 2 Bedroom,200,36,0.31
121861,"Park Slope Apt:, Spacious 2 bedroom",165,7,0.23
123784,NYC Studio for Rent in Townhouse,110,301,1.44
125053,⚡Quiet Gem w/roof deck on NY's Hottest Street⚡,395,170,0.73
125163,Authentic New York City Living ,99,307,0.54
125594,SUPER BIG AND COZY PRIVATE BEDROOM,39,365,0.94
126443,☆Massive DUPLEX☆ 2BR & 2BTH East Village 9+ Guests,189,201,4.1
126816,Gorgeous Upper West Side Apartment,85,0,0.03
127387,"Luxe, Spacious 2BR 2BA Nr Trains",260,316,0.03
128975,City Room - Street View Apt,122,271,1.18
131154,Cozy and Bright One Bedroom in BK,165,139,1.79
132516,Forest Hills Apt minutes to midtown Manhattan,97,209,1.21
132570,Spacious West Village 1 b/room King,170,0,0.25
132695,Perfect Williamsburg Summer Haven,125,0,0.15
133025,Midtown cozy convenient,130,193,1.07
134934,Prime Williamsburg Apartment,225,52,0.38
135393,"Private, spacious room in Brooklyn",50,136,2.69
135465,Garden apartment close to Manhattan,170,286,0.91
135706,The Ground Studio - West Side,132,0,0.1
136493,Stunning arty 3200sf 3FLR+3BR townhome w/terrace,250,18,0.21
138216,Sunny and Spacious Designer's Home,141,9,0.21
139624,"Spacious,Sunny, private one bedroom",64,3,0.73
140133,Truly Amazing Oasis In The City,249,277,1.55
140425,Holiday Time in NY - Oh My!!,79,0,1.18
140973,"East Village, King-Sized, Charmer",185,233,0.71
141154,Affordable Furnished Apartment,120,221,2.41
141335,Architect's Brownstone,495,355,0.41
141890,LUXURY SOHO 2 Bedroom Apt ,375,0,0.21
141984,Charming Nolita Apartment!!,175,277,0.69
142069,"EAST VILLAGE STUDIO, sunny & quiet",150,0,0.23
144087,LUXURY OF THE HORIZON,259,343,0.17
144148,1 Bdrm in 4 Bdrm dupelx/roof deck,96,0,0.58
145064,The Heart of Prime Williamsburg,145,0,0.08
145188,Parisian apartment in Chelsea,200,0,
145994,Cozy 2 Bedroom with Private Garden,95,0,0.08
146754,Three-bedroom house in a quiet neighborhood,250,188,0.72
147586,Beautiful Duplex w/Private Garden,295,264,0.76
148201,NYC - Sunny Greenwich Village 1br,175,0,0.19
148259,Garage Designer Loft,451,331,0.86
148825,Best City Area Columbia U Upper West Side C Park,165,236,2.18
149287,Your own apartment off Park Avenue,250,0,
149777,Artsy 1 bedroom Apt. 20 min to 42nd Grand Central!,77,309,2.49
150804,Lower East Side 2 Bed Apt.,250,0,0.2
151199,Astoria-Private Home NYC-,129,245,4.34
151478,"BIG, COMFY , PRIV. ROOM, BIG APT, YARD, GREAT LOC.",98,0,0.09
152071,Park Slope Apartment,150,8,
152078,CHARMING PRIVATE BEDROOM EAST VILLAGE,95,359,0.3
152259,City Room - Semi Private Bedroom,55,333,1.22
152263,Cozy apartment in a brownstone,300,258,2.14
152520,Female Only Clean15min to Manhattan,42,236,0.55
153405,Greenpoint Spacious Loft,125,22,1.09
153780,Private E. Village Townhouse Stay,175,236,1.8
154934,Harlem/Hamilton Heights Cozy Room,75,365,0.42
155296,Incredible Prime Williamsburg Loft!,255,89,0.5
157673,Large  Loft Style  Studio  Space,72,164,0.91
158061,Hancock Town House!-Stuyvesant Mews,165,311,0.28
158176,Entire Apt in Heart of Williamsburg,165,23,1.28
158290,Clinton Hill + Free Coffee = #smile,75,365,0.44
158913,"Nice, cozy, neat apt Greenpoint,BK",130,0,0.05
158955,PRIVATE and SUNNY Williamsburg Apt!,139,222,4
159749,Purple Room for 2/3 in brownstone $1450 per month,88,238,0.68
159815,Red Room for two in Brownstone for $1355/mo,80,218,0.41
159913,"Chelsea living, 2BR best location",150,0,1.79
160609,LOCATION LOCATION LOCATION UWS 60's,200,0,0.12
160994,In the heart of East Village,200,235,1.08
161366,Sunny 15min to Manhattan LADY only,42,246,0.43
161394,Surfer room 15mins to downtown NYC!,90,0,0.03
161996,Manhattan Penthouse-Max.12 guests,295,247,2.33
162493,Prime Williamsburg 3 BR with Deck,450,15,0.79
162508,Beautiful Brooklyn Oasis ,130,119,0.35
163627,Blue Room in Awesome Artist's Apartment!,89,0,2.31
163809,Cool & Spacious Harlem Artist Flat,198,234,0.44
163814,☆ STUDIO East Village ☆ Own bath! ☆ Sleeps 4 ☆,99,257,2.92
163836,Greenpoint Loft / Le Chez Andrea,46,350,0.89
164989,"*SoHo: Clean, Safe, Private, Peaceful Bedroom (A)*",140,221,0.56
165080,Amazing Brownstone in Best Brooklyn,500,0,0.07
165461,Couldn't Be Closer To Columbia Uni2,75,201,0.59
165824,Lady only Curtain-divided room,33,161,0.32
166006,Nice Manhattan Apt Near Central Park and Subway,250,259,1.94
166172,LG Private Room/Family Friendly,60,0,6.7
166541,Spacious Quiet rm - 20mins to Midtown,75,222,0.35
166983,"3 BR, Beautiful Brooklyn Duplex",350,0,0.06
167013,Spacious modern studio apartment in Manhattan,205,76,0.04
167017,Gorgeous Duplex + Garden,219,0,0.03
