host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,Year
Josh,Manhattan,East Village,40.72828,-73.98801,Entire home/apt,190,5,21,1/2/2019,2019
Victoria,Manhattan,Upper East Side,40.76865,-73.95058,Private room,200,1,142,7/6/2019,2019
Justin,Queens,Woodside,40.75038,-73.90334,Private room,70,30,25,5/31/2019,2019
Blaise,Brooklyn,Fort Greene,40.6932,-73.97267,Private room,95,3,143,6/16/2019,2019
DAVID And RICK,Manhattan,Chelsea,40.74138,-74.00197,Private room,150,3,167,5/28/2019,2019
Lulú,Brooklyn,Williamsburg,40.71154,-73.96112,Private room,145,3,61,4/22/2019,2019
Sybilla,Manhattan,Harlem,40.82915,-73.95136,Entire home/apt,110,31,54,3/23/2019,2019
JoLynn,Manhattan,Lower East Side,40.71851,-73.98892,Entire home/apt,285,5,70,6/30/2019,2019
Gaia,Brooklyn,Flatbush,40.65401,-73.96323,Entire home/apt,130,6,16,6/15/2019,2019
Ana,Manhattan,Lower East Side,40.7114,-73.98794,Private room,94,30,94,4/8/2019,2019
Maggie,Brooklyn,Brooklyn Heights,40.69723,-73.99268,Entire home/apt,800,1,25,8/4/2016,2016
Starlee,Brooklyn,Williamsburg,40.71833,-73.95748,Entire home/apt,105,3,61,8/9/2018,2018
Edward,Manhattan,East Village,40.72334,-73.9844,Private room,60,3,194,6/30/2019,2019
Pas,Manhattan,East Village,40.72912,-73.98057,Private room,50,1,2,2/14/2016,2016
Lulú,Brooklyn,Williamsburg,40.71156,-73.96218,Private room,85,3,174,6/22/2019,2019
Augustin,Brooklyn,Bushwick,40.70032,-73.9383,Private room,65,4,24,5/26/2019,2019
Sean & Lynette,Brooklyn,Prospect Heights,40.68233,-73.97261,Entire home/apt,131,4,166,6/27/2019,2019
Erica,Brooklyn,Clinton Hill,40.68634,-73.966,Private room,98,7,16,5/31/2019,2019
Tracy,Brooklyn,Prospect Heights,40.68035,-73.97162,Entire home/apt,250,7,21,5/21/2019,2019
Christiana,Brooklyn,Williamsburg,40.70984,-73.95775,Entire home/apt,100,5,168,7/22/2018,2018
Tyrome,Brooklyn,Bushwick,40.70093,-73.92609,Entire home/apt,105,3,118,6/18/2019,2019
Dana,Manhattan,Upper West Side,40.79764,-73.96177,Entire home/apt,140,3,81,7/7/2019,2019
Elliott,Manhattan,Harlem,40.82803,-73.94731,Private room,89,1,1,10/9/2018,2018
Olan,Manhattan,Chelsea,40.74008,-74.00271,Private room,98,30,30,5/1/2019,2019
Shelly,Brooklyn,Bedford-Stuyvesant,40.68413,-73.92357,Entire home/apt,125,7,139,10/28/2018,2018
Ssameer Or Trip,Manhattan,Harlem,40.82279,-73.95139,Private room,60,3,11,1/3/2019,2019
Annette,Brooklyn,Carroll Gardens,40.67967,-74.00154,Entire home/apt,175,2,233,6/24/2019,2019
Meka,Manhattan,Washington Heights,40.83927,-73.94281,Private room,65,2,68,11/1/2012,2012
Ann,Manhattan,West Village,40.73096,-74.00319,Entire home/apt,500,4,46,5/18/2019,2019
Seth,Brooklyn,Williamsburg,40.71332,-73.94177,Private room,101,3,335,5/29/2019,2019
Brenda,Brooklyn,Park Slope,40.66941,-73.98109,Entire home/apt,220,30,88,11/2/2018,2018
Shelly,Brooklyn,Bedford-Stuyvesant,40.68373,-73.92377,Entire home/apt,125,90,162,6/28/2019,2019
Erik,Brooklyn,Williamsburg,40.71459,-73.94844,Entire home/apt,80,30,29,5/26/2018,2018
Dena,Manhattan,Harlem,40.8092,-73.94421,Private room,100,2,170,6/23/2019,2019
Jessica,Brooklyn,Gowanus,40.68157,-73.98989,Entire home/apt,200,30,19,3/17/2017,2017
Luiz,Manhattan,Hell's Kitchen,40.75527,-73.99291,Private room,59,2,334,6/16/2019,2019
Erica,Brooklyn,Clinton Hill,40.68698,-73.96572,Private room,125,2,19,6/2/2019,2019
Sally,Manhattan,East Village,40.7288,-73.98192,Entire home/apt,140,7,12,12/11/2017,2017
Dani,Brooklyn,South Slope,40.66853,-73.98912,Entire home/apt,120,30,467,12/30/2018,2018
Bruce,Manhattan,East Village,40.7254,-73.98157,Entire home/apt,350,2,7,8/9/2017,2017
Nimo,Manhattan,Kips Bay,40.74294,-73.98009,Entire home/apt,199,5,38,12/2/2015,2015
Alexandra,Brooklyn,Williamsburg,40.71942,-73.95748,Entire home/apt,325,3,324,6/23/2019,2019
Stacy,Manhattan,Upper West Side,40.77823,-73.97637,Entire home/apt,235,6,27,4/27/2019,2019
Bruce,Manhattan,East Village,40.72555,-73.97965,Entire home/apt,225,1,115,6/7/2019,2019
Evelyn,Brooklyn,South Slope,40.66831,-73.98604,Private room,99,2,354,5/20/2019,2019
Emma,Manhattan,Harlem,40.82754,-73.94919,Entire home/apt,170,2,195,7/1/2019,2019
Vero,Brooklyn,South Slope,40.66499,-73.97925,Entire home/apt,400,2,16,12/30/2018,2018
Sylvie,Manhattan,Upper West Side,40.77842,-73.97556,Entire home/apt,170,7,13,6/26/2019,2019
Jen,Manhattan,East Village,40.72245,-73.98527,Entire home/apt,100,4,25,12/10/2011,2011
Kay,Brooklyn,Prospect-Lefferts Gardens,40.65593,-73.96053,Private room,75,2,9,10/5/2018,2018
Jo,Brooklyn,Williamsburg,40.71923,-73.96468,Private room,90,1,9,9/18/2011,2011
Lisa,Manhattan,Upper East Side,40.778,-73.94822,Entire home/apt,150,5,21,8/15/2017,2017
Fernando And Lenin,Manhattan,Washington Heights,40.85879,-73.93128,Private room,85,15,36,8/17/2017,2017
Angela,Brooklyn,Bedford-Stuyvesant,40.68332,-73.9547,Private room,70,3,63,5/14/2019,2019
Laurine,Manhattan,Harlem,40.81618,-73.94894,Entire home/apt,120,3,155,6/20/2019,2019
Chris,Brooklyn,Clinton Hill,40.68414,-73.96351,Private room,89,3,260,7/3/2019,2019
Uli,Manhattan,East Village,40.72392,-73.99143,Entire home/apt,185,5,73,6/25/2019,2019
Sol,Brooklyn,Greenpoint,40.73494,-73.9503,Private room,50,3,193,5/20/2019,2019
Cs,Manhattan,Lower East Side,40.71341,-73.98856,Entire home/apt,105,3,32,6/14/2019,2019
Lara,Manhattan,Hell's Kitchen,40.76754,-73.98399,Private room,130,2,50,5/26/2019,2019
Tom,Manhattan,West Village,40.73442,-74.00303,Entire home/apt,115,29,26,7/1/2019,2019
Sunder,Brooklyn,Flatlands,40.63188,-73.93248,Private room,77,2,2,1/1/2019,2019
Waldemar,Brooklyn,Clinton Hill,40.6873,-73.9634,Private room,76,2,426,6/24/2019,2019
Khem,Brooklyn,Bedford-Stuyvesant,40.68296,-73.93662,Entire home/apt,125,3,227,6/23/2019,2019
Sahr,Brooklyn,Clinton Hill,40.6863,-73.96765,Private room,135,4,84,7/1/2019,2019
Ali+Scott,Brooklyn,Greenpoint,40.73409,-73.95348,Entire home/apt,250,29,3,7/30/2017,2017
Elisabeth,Brooklyn,Williamsburg,40.71561,-73.94835,Entire home/apt,199,3,10,6/11/2018,2018
Sarah,Brooklyn,Cobble Hill,40.6857,-73.99183,Entire home/apt,140,2,4,4/24/2016,2016
Fredah,Queens,Flushing,40.74028,-73.83168,Private room,140,2,1,9/19/2011,2011
Khem,Brooklyn,Bedford-Stuyvesant,40.68281,-73.93524,Entire home/apt,115,3,124,6/20/2019,2019
Katherine,Brooklyn,Williamsburg,40.71596,-73.93938,Entire home/apt,160,3,11,7/2/2019,2019
Ming,Brooklyn,Williamsburg,40.71492,-73.95935,Entire home/apt,195,4,240,6/17/2019,2019
Paula,Manhattan,East Village,40.72354,-73.98295,Entire home/apt,195,3,30,6/17/2019,2019
Lulú,Brooklyn,Williamsburg,40.71165,-73.96087,Private room,80,3,200,6/22/2019,2019
Obed,Brooklyn,Fort Greene,40.69101,-73.97312,Private room,44,8,27,6/29/2019,2019
Karen,Manhattan,West Village,40.73474,-74.00101,Private room,156,4,79,6/22/2019,2019
Michael,Brooklyn,Prospect Heights,40.67386,-73.96641,Private room,85,15,9,5/10/2013,2013
White,Brooklyn,Williamsburg,40.71536,-73.96057,Private room,125,3,155,6/13/2019,2019
Paz,Brooklyn,Prospect Heights,40.6741,-73.96595,Entire home/apt,115,15,4,8/27/2018,2018
Irene,Manhattan,East Harlem,40.79295,-73.93997,Private room,69,2,34,5/29/2017,2017
Karene,Manhattan,West Village,40.73226,-74.00401,Entire home/apt,225,45,134,3/31/2019,2019
Viviana,Brooklyn,Williamsburg,40.71363,-73.96398,Entire home/apt,125,6,27,12/27/2018,2018
Sara,Manhattan,Upper East Side,40.77711,-73.9527,Entire home/apt,219,4,126,6/26/2019,2019
Sarah,Brooklyn,Boerum Hill,40.68559,-73.98094,Entire home/apt,475,3,23,12/31/2018,2018
Marie,Manhattan,Upper East Side,40.77456,-73.95323,Entire home/apt,99,1,234,6/8/2019,2019
Gus,Brooklyn,Williamsburg,40.71088,-73.95055,Private room,69,4,202,5/28/2019,2019
Myung,Queens,Sunnyside,40.74559,-73.92313,Private room,79,30,28,4/12/2019,2019
Renée,Brooklyn,Bedford-Stuyvesant,40.68306,-73.94659,Entire home/apt,135,2,309,6/22/2019,2019
Henry,Brooklyn,DUMBO,40.70207,-73.98571,Private room,250,3,14,4/25/2011,2011
Sylvia,Manhattan,Upper East Side,40.76123,-73.9642,Entire home/apt,250,3,4,9/23/2016,2016
Syl,Brooklyn,Gowanus,40.66858,-73.99083,Entire home/apt,250,2,80,7/6/2019,2019
Lorenzo,Manhattan,Harlem,40.82704,-73.94907,Entire home/apt,80,3,2,11/2/2015,2015
Waldemar,Brooklyn,Clinton Hill,40.68843,-73.96408,Private room,70,2,294,6/24/2019,2019
Annette,Brooklyn,Carroll Gardens,40.6783,-74.00135,Entire home/apt,165,2,150,6/18/2019,2019
Newyorkroomwithaview,Staten Island,St. George,40.64524,-74.08088,Private room,70,2,166,6/13/2019,2019
Tessa,Brooklyn,Bushwick,40.70641,-73.91765,Private room,50,2,47,6/19/2019,2019
Waundell,Bronx,Highbridge,40.83232,-73.93184,Private room,40,1,219,7/4/2019,2019
Young,Brooklyn,Williamsburg,40.71045,-73.9677,Entire home/apt,150,2,193,7/6/2016,2016
Bruce,Manhattan,East Village,40.72518,-73.98034,Private room,125,1,84,6/23/2019,2019
Coral,Manhattan,Financial District,40.70666,-74.01374,Entire home/apt,196,3,114,6/20/2019,2019
Carol,Brooklyn,Fort Greene,40.69098,-73.97113,Private room,110,2,213,6/24/2019,2019
Sara,Manhattan,West Village,40.73756,-74.00405,Entire home/apt,170,3,86,6/1/2019,2019
Laurine,Manhattan,Harlem,40.81526,-73.94791,Entire home/apt,165,3,80,5/26/2019,2019
Myrna,Manhattan,West Village,40.73423,-74.0046,Entire home/apt,150,26,38,4/20/2016,2016
Campbell,Manhattan,Harlem,40.82374,-73.9373,Entire home/apt,100,2,18,12/17/2018,2018
Doug,Brooklyn,Fort Greene,40.68863,-73.97691,Private room,65,2,206,6/30/2019,2019
Mark,Queens,Ridgewood,40.70382,-73.89797,Entire home/apt,350,8,10,5/12/2019,2019
Rahul,Manhattan,Morningside Heights,40.80549,-73.95924,Private room,99,4,122,5/14/2019,2019
Miyoung,Brooklyn,Williamsburg,40.71627,-73.9587,Entire home/apt,200,4,33,4/8/2019,2019
Monica,Brooklyn,Park Slope,40.67994,-73.97863,Entire home/apt,150,5,52,6/5/2019,2019
Marylyn,Brooklyn,Bedford-Stuyvesant,40.67992,-73.9475,Private room,90,3,126,5/19/2019,2019
Kathleen R.,Brooklyn,Prospect Heights,40.67868,-73.97307,Private room,120,3,51,6/24/2019,2019
Teresa,Manhattan,Upper East Side,40.76834,-73.95334,Private room,75,3,199,6/24/2019,2019
Robert,Brooklyn,Bedford-Stuyvesant,40.68237,-73.9415,Entire home/apt,175,26,30,9/3/2012,2012
Alex,Manhattan,Chelsea,40.74031,-73.99999,Entire home/apt,125,3,3,7/17/2015,2015
Claudia,Manhattan,Hell's Kitchen,40.76307,-73.99665,Entire home/apt,275,1,41,6/26/2019,2019
Shane,Manhattan,Lower East Side,40.71882,-73.98852,Entire home/apt,299,2,109,6/15/2019,2019
Laurie,Brooklyn,South Slope,40.6693,-73.98804,Entire home/apt,135,5,151,6/22/2019,2019
Jessica,Manhattan,Upper East Side,40.77333,-73.95199,Private room,130,14,0,,
Erina,Manhattan,Lower East Side,40.72319,-73.99201,Private room,83,1,285,6/22/2019,2019
Lee,Manhattan,Chelsea,40.74859,-73.99671,Private room,123,1,375,6/18/2019,2019
Jullett,Queens,Jamaica,40.67252,-73.76597,Private room,55,2,52,5/20/2019,2019
Marlaine,Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,195,5,10,7/1/2019,2019
Charlotte,Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,80,2,11,11/13/2017,2017
Mark,Queens,Middle Village,40.71722,-73.87856,Entire home/apt,98,30,33,5/9/2015,2015
Mark,Queens,Ridgewood,40.70234,-73.89816,Private room,140,7,6,10/8/2015,2015
Mark,Queens,Middle Village,40.71546,-73.87854,Entire home/apt,265,7,38,4/27/2019,2019
Bob,Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,249,2,358,6/20/2019,2019
Anka,Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,105,6,10,1/7/2014,2014
Douglas,Manhattan,Harlem,40.80234,-73.95603,Private room,200,30,0,,
Kathleen R.,Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,100,2,226,6/6/2019,2019
Wayne,Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,121,1,104,6/22/2019,2019
Waundell,Bronx,Highbridge,40.83075,-73.93058,Private room,45,1,138,6/30/2019,2019
Jenny,Manhattan,East Harlem,40.79958,-73.94275,Private room,100,5,204,6/23/2019,2019
Paul,Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,140,2,253,7/2/2019,2019
Tami,Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,71,2,23,7/1/2019,2019
Jason,Manhattan,NoHo,40.72773,-73.99134,Private room,130,2,115,12/5/2018,2018
Pete,Manhattan,West Village,40.72861,-74.0049,Entire home/apt,199,5,129,5/19/2019,2019
Gus,Brooklyn,Williamsburg,40.70979,-73.95162,Private room,69,4,82,6/10/2019,2019
Sally,Brooklyn,Fort Greene,40.68656,-73.97525,Private room,68,3,37,12/31/2018,2018
Leonardo,Manhattan,East Village,40.72752,-73.98432,Entire home/apt,130,1,204,7/1/2019,2019
Alex,Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,195,2,69,6/13/2019,2019
Wayne,Manhattan,Harlem,40.81219,-73.94499,Private room,64,1,192,6/3/2019,2019
Vasili,Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,140,2,17,6/17/2019,2019
S.M.,Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,159,2,222,6/24/2019,2019
Ori,Manhattan,East Village,40.72821,-73.98701,Entire home/apt,189,3,205,6/23/2019,2019
Ana,Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,250,3,94,6/9/2019,2019
I,Manhattan,East Village,40.73012,-73.99053,Entire home/apt,239,3,7,5/24/2019,2019
R,Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,305,2,108,6/30/2019,2019
Simon,Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,155,3,222,6/26/2019,2019
Agnes,Manhattan,Harlem,40.8251,-73.94287,Private room,60,1,458,7/3/2019,2019
Linda,Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,135,2,21,5/17/2019,2019
Dave,Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,120,7,17,5/8/2019,2019
Drica,Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,150,3,41,1/2/2019,2019
Mark,Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,140,14,1,9/17/2012,2012
Betty,Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,135,2,69,5/19/2019,2019
Ricardo & Ashlie,Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,250,4,18,7/1/2019,2019
Leslie,Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,250,30,82,1/5/2016,2016
Harrison,Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,500,4,94,6/23/2019,2019
Jessica,Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,225,5,10,5/11/2019,2019
Blanca,Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,125,28,183,9/29/2018,2018
Wayne,Manhattan,Harlem,40.8118,-73.94434,Private room,92,1,189,6/11/2019,2019
Cynthia,Manhattan,Harlem,40.81583,-73.94707,Private room,175,2,1,10/7/2018,2018
Mich,Manhattan,East Village,40.72654,-73.98049,Entire home/apt,99,2,127,6/20/2019,2019
Rachel,Manhattan,Upper West Side,40.80021,-73.96071,Entire home/apt,195,4,4,8/25/2017,2017
Laurine,Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,140,3,135,6/20/2019,2019
Greta,Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,135,2,21,12/12/2015,2015
Frank,Manhattan,Chelsea,40.74358,-74.00027,Entire home/apt,500,2,35,7/27/2017,2017
Bethania,Manhattan,Harlem,40.80335,-73.9575,Private room,80,14,10,6/1/2019,2019
Tunji,Manhattan,Chinatown,40.71445,-73.9908,Private room,120,4,171,6/23/2019,2019
Anna/Fonzy,Manhattan,Midtown,40.75749,-73.96897,Entire home/apt,110,200,92,4/30/2019,2019
Colette&Sean,Brooklyn,East Flatbush,40.64446,-73.9503,Entire home/apt,65,3,238,6/14/2019,2019
Brie,Manhattan,East Village,40.7268,-73.99079,Entire home/apt,130,50,56,5/26/2019,2019
Sheila,Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,99,3,111,6/22/2019,2019
Lissette,Staten Island,Tompkinsville,40.63536,-74.08537,Private room,36,2,193,6/25/2019,2019
Lissette,Staten Island,Tompkinsville,40.63627,-74.08543,Private room,37,2,147,6/10/2019,2019
Lissette,Staten Island,Tompkinsville,40.63518,-74.08546,Private room,37,2,177,7/2/2019,2019
Olivia,Manhattan,East Village,40.72477,-73.98161,Entire home/apt,175,3,185,5/24/2019,2019
Daniel,Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,205,9,62,6/21/2019,2019
Maya,Brooklyn,Greenpoint,40.72945,-73.95511,Entire home/apt,285,3,124,6/16/2019,2019
Scott,Brooklyn,Williamsburg,40.70763,-73.95177,Private room,59,2,181,6/23/2019,2019
Lissette,Staten Island,Tompkinsville,40.63481,-74.08519,Private room,36,2,333,7/2/2019,2019
Dennis & Naoko,Queens,Astoria,40.75384,-73.91433,Entire home/apt,99,5,441,6/24/2019,2019
Antonín,Brooklyn,Kensington,40.64106,-73.97426,Private room,39,1,45,5/16/2019,2019
Emily,Brooklyn,Park Slope,40.66793,-73.98327,Private room,60,14,9,8/29/2016,2016
Carol Gloria,Bronx,Clason Point,40.81309,-73.85514,Private room,90,2,0,,
Vie,Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,105,2,38,6/27/2019,2019
Renée,Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,Entire home/apt,135,2,248,6/25/2019,2019
Olivia,Manhattan,East Village,40.72185,-73.98246,Entire home/apt,390,5,143,6/19/2019,2019
Helene,Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,Private room,70,3,36,8/19/2018,2018
Paula,Manhattan,Inwood,40.86648,-73.9263,Private room,75,7,0,,
Kristian & Di,Brooklyn,Williamsburg,40.7069,-73.95467,Private room,60,17,14,1/7/2019,2019
David,Manhattan,East Village,40.72807,-73.98594,Entire home/apt,200,3,0,,
Niya,Brooklyn,Crown Heights,40.6778,-73.94339,Private room,100,3,279,6/24/2019,2019
Helene,Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,Private room,70,4,18,1/2/2019,2019
Debbie,Brooklyn,Crown Heights,40.6761,-73.9529,Private room,110,6,50,5/26/2019,2019
Anthony,Brooklyn,Crown Heights,40.67586,-73.95155,Private room,60,2,227,6/27/2019,2019
